mary anne shaffer,The Guernsey Literary and Potato Peel Pie Society
p. c. cast,Burned (PCC)
john grisham,A Painted House
sparks nicholas,The Lucky One
colleen a. f. venable,Kiss Number 8
reeve philip,Fever Crumb
george ella lyon,Dreamplace
ann brashares,Girls In Pants: The Third Summer Of The Sisterhood
scott libby,Can You See Me?
larry watson,Montana 1948
jordan sonnenblick,Zen and the Art of Faking It
hoover colleen,Hopeless
cat clarke,The Pants Project
george r. r. martin,A Feast for Crows
kara thomas,That Weekend
juliet marillier,Daughter of the Forest
antonia michaelis,Dragons of Darkness
ken follett,The Man from St. Petersburg
zinn howard,A People's History of the United States
xiran jay zhao,Iron Widow
juno dawson,This Book Is Gay
anna godberson,Envy
maguire gregory,Wicked: Memorias de una bruja mala
couch robbie,Blaine for the Win
crew linda,Brides of Eden: A True Story Imagined
sass adam,Surrender Your Sons
melissa de la cruz,Gates of Paradise
kurt vonnegut,Slaughterhouse-Five
lolly winston,Happiness Sold Separately
john brindley,The Rule of Claw
mindy mcginnis,Heroine
james patterson,Sail
hoover colleen,Maybe Someday
cook karin,What Girls Learn
kevin panetta,Bloom
do anh,WeirDo Series: Vote Weirdo
iturbe antonio,The Librarian of Auschwitz
aaron starmer,Spontaneous
jeff zentner,In the Wild Light
janet tashjian,Fault Line
john barnes,Tales of the Madman Underground
ormsbee kathryn,Candidly Cline
phil stamper,The Gravity of Us
kevin brooks,Lucas
nora roberts,Birthright
matson morgan,Amy and Roger's Epic Detour
geraldine mccaughrean,Where the World Ends
smythe rachel,Lore Olympus: Volume Three
louise rennison,Stop in the Name of Pants!
feder tyler,Dancing at the Pity Party: A Dead Mom Graphic Memoir
jennifer a. nielsen,The Traitor's Game
iles greg,Blood Memory
dusti bowling,Insignificant Events In The Life Of A Cactus
elle cosimano,Nearly Found
isabel sterling,These Witches Don't Burn
sara shepard,Unbelievable
lynch chris,Killing Time in Crystal City
cecily von ziegesar,It Had To Be You
noone gabby,Layoverland
claire legrand,Furyborn
jennifer lynn barnes,Killer Spirit
james dashner,The Maze Runner
stephen r. donaldson,The One Tree
donna kauffman,The Big Bad Wolf Tells All
mindy mcginnis,In a Handful of Dust
henry emily,The Love that Split the World
lisa bunker,Zenobia July
susan dennard,Truthwitch
david benioff,City of Thieves (DB)
hale shannon,Friends Forever
meg cabot,Ready or Not
mary h.k. choi,Yolk
clare cassandra,Chain Of Thorns
avery monsen,All My Friends Are Dead
mafi tahereh,Imagine Me
janet evanovich,Plum Lovin
james w. bennett,Plunking Reggie Jackson
sarah j. maas,Crown of Midnight
coben harlan,Home
kody keplinger,Shut Out
stasia ward kehoe,The Sound of Letting Go
susan beth pfeffer,This World We Live In
tehlor kay mejia,We Set the Dark on Fire
king stephen,Different Seasons: Four Novellas
puzo mario,The Family
rowell rainbow,Fangirl
stieg larsson,The Girl Who Played with Fire
oppel kenneth,Every Hidden Thing
natalie c. anderson,Let's Go Swimming on Doomsday
stansbie stephanie,My Friends and Me
maria isabel sanchez vegara,Elton John
sara gruen,Water for Elephants
han jenny,Ashes to Ashes
patricia c. wrede,Dealing with Dragons
newth mette,The Dark Light
anne mccaffrey,The White Dragon
fahy thomas,Sleepless
ken follett,The Pillars of the Earth
diana gabaldon,The Fiery Cross
mark oshiro,Anger Is a Gift
savit gavriel,Anna and the Swallow Man
meg cabot,Victoria and the Rogue
walker richard,Human Body: a visual encyclopedia
burgan michael,The Curse of King Tut's Tomb
andrea robertson,Rise
armas elena,Spanish Love Deception
hoover colleen,All Your Perfects
uwem akpan,Say You're One of Them
iris johansen,Fatal Tide
ruta sepetys,Out of the Easy
kimberly brubaker bradley,The War that Saved My Life
nancy werlin,Impossible
woodson jacqueline,Another Brooklyn
lynch chris,Inexcusable
alane ferguson,The Circle of Blood
emmy laybourne,Monument 14: Sky On Fire
chee traci,We Are Not Free
mead richelle,Blood Promise
cecily von ziegesar,The It Girl
f. t. lukens,In Deeper Waters
maln. alegra,Sofi Mendoza's Guide to Getting Lost in Mexico
king stephen,The Gunslinger
cecily von ziegesar,I Like it Like That
laura marx fitzgerald,Under the Egg
love jessica,Julián at the Wedding
lauren myracle,ttyl
laura hopper,I Never
kate messner,Chirp
quin sara,High School
alameda courtney,Seven Deadly Shadows
verdi jessica,And She Was
meyer marissa,Serendipity: Ten Romantic Tropes Transformed
adams douglas,So Long and Thanks for All the Fish
sarah j. maas,Queen of Shadows
