m. azmitia,Rising Out
julia scheeres,Jesus Land: A Memoir
brie spangler,Beast
brown monica,Lola Levine and the Halloween Scream (Lola Levine Series)
blake ashley herring,How to Make a Wish
jay coles,Things We Couldn't Say
emezi akwaeke,Pet
brad meltzer,I Am Rosa Parks
liz prince,Tomboy: A Graphic Memoir
laurie wallmark,Ada Byron Lovelace and the Thinking Machine
thor rosiee,Tarnished Are the Stars
miller natalie davis,Swimming with Faith: The Missy Franklin Story (ZonderKidz Biography Series)
p. c. cast,Revealed (House of Night Series)
jelani memory,A Kids Book About Racism
maya angelou,And Still I Rise
engle margarita,A Dog Named Haku: A Holiday Story from Nepal
w. evans shane,We March
saundra mitchell,Out Now: Queer We Go Again!
gonzlez rigoberto,What Drowns the Flowers in Your Mouth: A Memoir of Brotherhood
king stephen,Elevation
cohn rachel,Naomi and Ely's No Kiss List
vashti harrison,Little Leaders: Bold Women in Black History
jewell parker rhodes,Ninth Ward (The Louisiana Girls Trilogy Series)
atwood margaret,The Handmaid's Tale: The Graphic Novel
george madeleine,The Difference Between You and Me
ellen wittlinger,Saturdays with Hitchcock
megan stine,Who Is Sonia Sotomayor? (Who was...? Series)
x. kendi ibram,How to Be an Antiracist
robin talley,The Love Curse of Melody McIntyre
tamora pierce,The Will of the Empress (The Circle Reforged Series)
coerr eleanor,Sadako
do anh,WeirDo Series: Spooky Weird!
k. bynum betty,I'm a Pretty Little Black Girl!
ciara smyth,The Falling in Love Montage
jazz jennings,Being Jazz: My Life as a (Transgender) Teen
patrisse khan-cullors,When They Call You a Terrorist (Young Adult Edition): A Story of Black Lives Matter and the Power to Change the World
andrs miedoso,Escape from the Roller Ghoster (Desmond Cole Ghost Patrol Series)
clare cassandra,City of Heavenly Fire (The Mortal Instruments Series)
sharon robinson,The Hero Two Doors Down: Based on the True Story of Friendship between a Boy and a Baseball Legend
greg howard,The Whispers
laura sibson,Edie in Between
dinah brown,Who Is Malala Yousafzai? (Who was...? Series)
joseph bruchac,Eagle Song
aaron hartzler,Rapture Practice: A True Story About Growing Up Gay in an Evangelical Family
gennari jennifer,My Mixed-Up Berry Blue Summer
caleb roehrig,White Rabbit
alexie sherman,Thunder Boy Jr.
faruqi saadia,Yasmin the Recycler (Yasmin Series)
isabel allende,The House of the Spirits
becky albertalli,Here's to Us
johnson kathleen jeffrie,Target
lesla newman,Heather Has Two Mommies
meg medina,Yaqui Delgado Wants to Kick Your Ass
s. e. hinton,The Outsiders
jewell parker rhodes,Ghost Boys
floyd cooper,Max and the Tag-Along Moon
duncan tonatiuh,Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation
don nardo,Understanding Gender Identity
chloe schwenke,SELF-ish: A Transgender Awakening
finch michelle,Phoenix Goes to School: A Story to Support Transgender and Gender Diverse Children
meg specksgoor,I Am Water
michelle schusterman,Spotlight on Coding Club! (Girls Who Code Series)
ben philippe,The Field Guide to the North American Teenager
alex sanchez,Rainbow High (Rainbow Trilogy Series)
kelly jones,Unusual Chickens for the Exceptional Poultry Farmer (Unusual Chickens Series)
blake ashley herring,Girl Made of Stars
caroline o'donoghue,All Our Hidden Gifts (All Our Hidden Gifts Series)
roux madeleine,House of Furies (House of Furies Series)
kirstin cronn-mills,Striving for Equality: LGBTQ Athletes Claim the Field
carrie mesrobian,Cut Both Ways
dashka slater,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives
b. t. gottfred,Forever for a Year
laird elizabeth,A Little Piece of Ground
ramos nonieqa,The Truth Is
roxanne dunbar-ortiz,An Indigenous Peoples' History of the United States
toni morrison,Beloved
joseph bruchac,Two Roads
faruqi saadia,Yasmin the Librarian (Yasmin Series)
alice oseman,Heartstopper: Volume Two (Heartstopper Series)
r. banaji mahzarin,Blindspot: Hidden Biases of Good People
hutchinson shaun david,We Are the Ants
sidney ii ronnie,Tameka's New Dress
rosin lindsey,Cherry
michelle alexander,The New Jim Crow: Mass Incarceration in the Age of Colorblindness
phil bildner,Most Valuable Players (Rip and Red Series)
plath sylvia,The Bell Jar
ellen labrecque,Who Was Maya Angelou? (Who was...? Series)
lauren myracle,Shine
seth rudetsky,My Awesome/Awful Popularity Plan (Justin Goldblatt Series)
jules jacqueline,The Beach Trip (Sofía Martínez Series)
helene dunbar,We Are Lost and Found
ryan pam muoz,Esperanza Rising
faruqi saadia,Yasmin the Friend (Yasmin Series)
dean atta,The Black Flamingo
nutt amy ellis,Becoming Nicole: The inspiring story of transgender actor-activist Nicole Maines and her extraordinary family
friend natasha,Lush
jenni hendriks,Unpregnant
s. davis tanita,Happy families
m. t. anderson,Feed
amy reed,The Nowhere Girls
megan madison,Our Skin: A First Conversation About Race
adam silvera,Infinity Son (Infinity Cycle Series)
misa sugiura,It's Not Like It's a Secret
er frank,Life is Funny
jules jacqueline,The Missing Mouse (Sofía Martínez Series)
ellen hopkins,Triangles
jasper sanchez,The (Un)Popular Vote
tess sharpe,Far from You
machado carmen maria,In the Dream House
ward jesmyn,Salvage the Bones (Bois Sauvage Series)
faruqi saadia,Yasmin the Teacher (Yasmin Series)
nic stone,Clean Getaway
eric velsquez,Looking for Bongo
jay asher,Thirteen Reasons Why
sarah fabiny,Who Was Rachel Carson? (Who was...? Series)
barzak christopher,Wonders of the Invisible World
echo brown,Black Girl Unlimited: The Remarkable Story of a Teenage Wizard
kalynn bayron,Cinderella Is Dead
blakemore kim taylor,Bowery Girl
angela diterlizzi,The Magical Yet
mark oshiro,Anger Is a Gift: A Novel
bill konigsberg,The Bridge
cat clarke,The Pants Project
ruta sepetys,Out of the Easy
paulo freire,Pedagogy of the Oppressed
lucas rocha,Where We Go From Here
sonya sones,One of Those Hideous Books Where the Mother Dies
eric carle,Draw Me a Star
walter larimore,The Ultimate Guys' Body Book: Not-So-Stupid Questions About Your Body
a. ginwright shawn,Black Youth Rising: Activism and Radical Healing in Urban America
ellen hopkins,Perfect (Impulse Series)
jules jacqueline,Sofia's Party Shoes (Sofía Martínez Series)
lynne rickards,Pink!
alex sanchez,Bait
allison lassieur,25 Women Who Dared to Go
sara farizan,Tell Me Again How a Crush Should Feel
cole brock,The Facts Speak for Themselves
lauren myracle,yolo (Internet Girls Series)
leanne lieberman,Gravity
monica clark-robinson,Let the Children March
hamish steele,The Watcher's Test (Deadendia Series)
reem faruqi,Lailah's Lunchbox: A Ramadan Story
adler dahlia,Cool for the Summer
katie cotugno,How to Love
javaka steptoe,Radiant Child: The Story of Young Artist Jean-Michel Basquiat
shetterly margot lee,Hidden Figures: The True Story of Four Black Women and the Space Race
brown jaye robin,The Meaning of Birds
faith gardner,Girl on the Line
art coulson,Unstoppable: How Jim Thorpe and the Carlisle Indian School Football Team Defeated Army (Encounter: Narrative Nonfiction Picture Books Series)
iris gottlieb,Seeing Gender: An Illustrated Guide to Identity and Expression
bell derrick,Faces at the Bottom of the Well: The Permanence of Racism
andrs miedoso,Campfire Stories (Desmond Cole Ghost Patrol Series)
adam rapp,33 Snowfish
de la pea matt,Mexican Whiteboy
scott ann herbert,On Mother's Lap
kwame alexander,The Undefeated
aziz ansari,Modern Romance: An Investigation
bray libba,Lair of Dreams (The Diviners Series)
evison jonathan,Lawn Boy
norton preston,Neanderthal Opens the Door to the Universe
john green,Let it Snow: Three Holiday Romances
meyer stephenie,Eclipse (Twilight Series)
anna mcquinn,Lola Gets a Cat (Lola Series)
mahin michael james,When Angels Sing: The Story of Rock Legend Carlos Santana
sonia patel,Jaya and Rasa: A Love Story
lee stacey,The Downstairs Girl
tobly mcsmith,Stay Gold
hill katie rain,Rethinking Normal: A Memoir in Transition
olsen shannon,Our Class is a Family
rau dana meachen,Who Is the Dalai Lama? (Who was...? Series)
j. ortiz simon,The People Shall Continue
sarah fabiny,Who Was Frida Kahlo? (Who was...? Series)
t. klein rebecca,Transgender Rights and Protections
z brewer,Into the Real
brown monica,Lola Levine and the Vacation Dream (Lola Levine Series)
juno dawson,This Book Is Gay
hort lenny,How Many Stars in the Sky?
la sala ryan,Be Dazzled
howard elizabeth fitzgerald,Virgie Goes to School with Us Boys
do anh,WeirDo Series: Tasty Weird!
de la pea matt,Last Stop on Market Street
rafe martin,The Rough-Face Girl
j. bick ilsa,The Sin-Eater's Confession
tyler michael,The Skin You Live In
alex london,Gold Wings Rising (Skybound Series)
a. robertson david,The Barren Grounds (The Misewa Saga Series)
aaron hartzler,What We Saw
ken mochizuki,Baseball Saved Us
boelts maribeth,Those Shoes
de robertis carolina,The Gods of Tango
sara shepard,Influence
rick riordan,The Tyrant’s Tomb (The Trials of Apollo Series)
judy blume,Forever...
foley jessie ann,The Carnival at Bray
l. moore darnell,No Ashes in the Fire: Coming of Age Black and Free in America
meyer marissa,Fairest: Levana's Story (The Lunar Chronicles Series)
ruta sepetys,Between Shades of Gray
niven jennifer,Breathless
s. turner pamela,Hachiko: The True Story of a Loyal Dog
p. c. cast,Destined (House of Night Series)
adib khorram,Darius the Great Is Not Okay (Darius the Great Series)
julie murphy,Ramona Blue
lamar giles,Not So Pure and Simple
tess sharpe,The Girls I've Been
stan stanley,Bright World (The Hazards of Love Series)
crdova zoraida,Wayward Witch (Brooklyn Brujas Series)
robert sharenow,The Berlin Boxing Club
hutchinson shaun david,The Five Stages of Andrew Brawley
j. lawrence lisa,Trail of Crumbs
ingrande mora maria,Fragile Remedy
doreen rappaport,Wilma's Way Home: The Life of Wilma Mankiller
jewell parker rhodes,Bayou Magic (The Louisiana Girls Trilogy Series)
nic stone,Dear Martin
robin talley,Pulp
william golding,Lord of the Flies
ellen hopkins,The You I've Never Known
pau preto nicki,Crown of Feathers (Crown of Feathers Series)
myers walter dean,Dope Sick
jacobs donald trent,Teaching Truly: A Curriculum to Indigenize Mainstream Education
maulik pancholy,The Best at It
lo malinda,Ash
kaito blue flag,Vol. 4 (Blue Flag Series)
sarah j. maas,A ​Court of Silver Flames (A Court of Thorns and Roses Series)
barnes derrick,I Am Every Good Thing
love jessica,Julián at the Wedding (Julián Series)
megan stine,Who Is Michelle Obama? (Who was...? Series)
howe james,Totally Joe (The Misfits Series)
lauren myracle,Victor and Nora: A Gotham Love Story
adam silvera,They Both Die at the End
nancy garden,Annie on My Mind
tony medina,I Am Alfonso Jones
prez ashley hope,Out of Darkness
todd parr,Esta bien ser diferente/It's Okay to Be Different (Spanish Version)
tyler curry,A Peacock Among Pigeons
m. draper sharon,Darkness Before Dawn
david williams,The Boy in the Dress
sara benincasa,Great
woods brenda,My Name Is Sally Little Song
marsh sarah glenn,The Girls Are Never Gone
alyssa brugman,Alex As Well
lynn joseph,The Color of My Words
rye duran,A Perfect Blank
ashley mardell,The ABC's of LGBT+
carole boston weatherford,Gordon Parks: How the Photographer Captured Black and White America
e. lockhart,Fly on the Wall: How One Girl Saw Everything
shaun david hutchinson,A Complicated Love Story Set in Space
alex sanchez,So Hard to Say
agell charlotte,The Accidental Adventures of India McAllister
catherine adel west,Saving Ruby King
george elizabeth,The Edge of the Water (Whidbey Island Saga Series)
ibi zoboi,American Street
dani jansen,The Year Shakespeare Ruined My Life
angie thomas,The Hate U Give
michael thomas ford,Suicide Notes
david levithan,Another Day (Every Day Series)
melinda salisbury,Hold Back the Tide
marilyn reynolds,Detour for Emmy
naomi shihab nye,The Flag of Childhood: Poems From the Middle East
kelly starling lyons,Sing a Song: How Lift Every Voice and Sing Inspired Generations
bill konigsberg,The Music of What Happens
bennett michael,Things That Make White People Uncomfortable (Adapted for Young Adults)
f. t. lukens,In Deeper Waters
connors kathleen,The Life of Rosa Parks (Famous Lives Series)
sarah j. maas,A Court of Mist and Fury (A Court of Thorns and Roses Series)
andrew solomon,Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us
julie anne peters,grl2grl
dana meachen rau,Who Was Harriet Beecher Stowe? (Who was...? Series)
kristy dallas alley,The Ballad of Ami Miles
wilson lakita,What Is Black Lives Matter? (What was...? Series)
thomas e. bevan,Being Transgender: What You Should Know
e. e. charlton-trujillo,Homecoming (Fat Angie Series)
emily victoria,This Golden Flame
clare cassandra,Clockwork Princess (The Infernal Devices Series)
andrew clements,Extra Credit
alex london,Black Wings Beating (Skybound Series)
louise o'neill,Asking for It
kai cheng thom,From the Stars in the Sky to the Fish in the Sea
caleb roehrig,Death Prefers Blondes
cecily von ziegesar,Gossip Girl: A Novel by Cecily von Ziegesar (Gossip Girl Series)
russo meredith,If I Was Your Girl
kyo maclear,It Began with a Page: How Gyo Fujikawa Drew the Way
blacker terence,Boy2Girl
megan atwood,Raise the Stakes
jonathan van ness,Peanut Goes for the Gold
tim federle,Nate Expectations
mark oshiro,Anger Is a Gift
rebecca j. stanborough,25 Women Who Ruled
deborah hopkinson,Michelle
alicia jasinska,The Dark Tide
pat schmatz,Lizard Radio
juana martinez-neal,Alma and How She Got Her Name
lesa cline-ransome,Before She Was Harriet
emdin christopher,For White Folks Who Teach in the Hood... and the Rest of Y'all Too: Reality Pedagogy and Urban Education
lee mackenzi,The Gentleman's Guide to Vice and Virtue (Montague Siblings Series)
s. j. sindu,Marriage of a Thousand Lies
bell eric,Alan Cole Is Not a Coward
gloria jean pinkney,The Sunday Outing
celano marianne,Something Happened in Our Town
rylan jay testa,The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity
april daniels,Dreadnought (Nemesis Series)
saundra mitchell,All the Things We Do in the Dark
kate light,Gender Identity: The Search for Self
lesla newman,Sparkle Boy
rick riordan,The Hidden Oracle (The Trials of Apollo Series)
faruqi saadia,Yasmin the Gardener (Yasmin Series)
george m. johnson,All Boys Aren't Blue
alice oseman,Heartstopper: Volume One (Heartstopper Series)
don nardo,Teens and Gender Dysphoria
jonah winter,Sonia Sotomayor: A Judge Grows in the Bronx/La juez que creció en el Bronx
julie anne peters,Keeping You a Secret
nagle jeanne,GLBT Teens and Society
kevin brooks,Black Rabbit Summer
robin talley,Music from Another World
rachael lippincott,The Lucky List
belge kathy,Queer: The Ultimate LGBTQ Guide for Teens
amy beashel,The Sky Is Mine
jones jaida,Master of One
audrey coulthurst,Of Ice and Shadows (Of Fire and Stars Series)
devore laurie,A Better Bad Idea
khan sabina,The Love and Lies of Rukhsana Ali
marsden carolyn,The Gold-Threaded Dress
abbi glines,Under the Lights (The Field Party Series)
becky albertalli,Kate in Waiting
dorros arthur,Abuela
michael barakiva,One Man Guy
p. c. cast,Hidden (House of Night Series)
cook maria,Gender Identity: Beyond Pronouns and Bathrooms
dana alison levy,The Family Fletcher Takes Rock Island (Family Fletcher Series)
lauren myracle,ttyl (Internet Girls Series)
eli adam,The New Queer Conscience
lane fredrickson,Monster Trouble!
mica pollock,Everyday Antiracism: Getting Real About Race in School
ryan sara,Empress of the World (Battle Hall Davies Series)
aida salazar,The Moon Within
anna mcquinn,Lola Plants a Garden (Lola Series)
jules jacqueline,Picture Perfect (Sofía Martínez Series)
corey shana,Malala: A Hero for All (Step into Reading Series)
walter dean myers,Monster
becky albertalli,What If It's Us (What If It's Us Series)
jane yolen,Encounter
cox judy,My Family Plays Music
dana meachen rau,Who Was Cesar Chavez? (Who was...? Series)
mitali perkins,Between Us and Abuela: A Family Story from the Border
miriam b. schiffer,Stella Brings the Family
beaty daniel,Knock Knock: My Dad's Dream for Me
lesla newman,October Mourning: A Song for Matthew Shepard
smyth ciara,Not My Problem
sandra cisneros,The House on Mango Street
jeff garvin,Symptoms of Being Human
polacco patricia,The Butterfly
tim floreen,Willful Machines
angelo surmelis,The Dangerous Art of Blending In
do anh,WeirDo Series: Super Weird!
laurie halse anderson,Speak
elana k. arnold,Damsel
oliver lauren,Broken Things
barnes derrick,Slumber Party Payback (Ruby and the Booker Boys Series)
connor leslie,A Home for Goddesses and Dogs
rodi robert,Finding Community
lin grace,Starry River of the Sky
arvin ahmadi,How It All Blew Up
karen english,Nadia's Hands
khaled hosseini,The Kite Runner
garber romina,Lobizona (Wolves of No World Series)
jr. james buckley,Who Was Jesse Owens? (Who was...? Series)
roy arundhati,The God of Small Things
naomi shihab nye,The Turtle of Oman (The Turtle of Oman Series)
shaw susan,Safe
sarah j. maas,House of Sky and Breath (Crescent City Series)
rick riordan,The Dark Prophecy (The Trials of Apollo Series)
smith andrew,Grasshopper Jungle (Grasshopper Jungle Series)
lundin britta,Ship It
ellen hopkins,Glass (Crank Series)
karen schwabach,The Hope Chest
woodson jacqueline,The Dear One
peter h. reynolds,Say Something
dawn klehr,The Cutting Room Floor
byers grace,I Am Enough
tan susan,Cilla Lee-Jenkins: The Epic Story (Cilla Lee-Jenkins Series)
leah johnson,Rise to the Sun
emily easton,Enough! 20 Protesters Who Changed America
miller sharee,Don't Touch My Hair!
han jenny,To All the Boys I've Loved Before (To All the Boys I've Loved Before Series)
kate scelsa,Fans of the Impossible Life
nancy garden,The Year They Burned the Books
eric devine,Look Past
flynn gillian,Gone Girl
clifton lucille,The Boy Who Didn't Believe in Spring
jazz jennings,I am Jazz
alysia constantine,Short Stuff: A Young Adult LGBTQ+ Anthology
kurt vonnegut,Slaughterhouse-Five
harvey fierstein,The Sissy Duckling
petrus junauda,The Stars and the Blackness Between Them
walls jeannette,The Glass Castle
wibke brueggemann,Love Is for Losers
ruby bridges,This Is Your Time
woodson jacqueline,The Other Side
klise james,Love Drugged
do anh,WeirDo Series: Extra Weird!
scott elizabeth,Living Dead Girl
lee lyla,Mindy Kim and the Yummy Seaweed Business (Mindy Kim Series)
boyd maria,Will
a. m. homes,Jack
a. s. king,Ask the Passengers
khan brooke,Home of the Brave: 15 Immigrants Who Shaped U.S. History
polacco patricia,Mrs. Katz and Tush
dr. seuss,Ven a Mi Casa
aiden thomas,Cemetery Boys
cheryl willis hudson,My Friend Maya Loves to Dance
bil wright,Putting Makeup on the Fat Boy
shaw tucker,The Hookup Artist
lurie april,The Less-dead
jen wang,The Prince and the Dressmaker
mason deaver,I Wish You All the Best (I Wish You All the Best Series)
p. c. cast,Burned (House of Night Series)
denene millner,Early Sunday Morning
julie anne peters,Lies My Girlfriend Told Me
kelly starling lyons,Going Down Home with Daddy
woodson jacqueline,Beneath a Meth Moon: An Elegy
faruqi saadia,Yasmin the Fashionista (Yasmin Series)
verdi jessica,And She Was
alex sanchez,You Brought Me the Ocean
rene colato lainez,¡Vámonos! Let's Go!
pat mora,Love to Mama: A Tribute To Mothers
liz garton scanlon,All the World
varian johnson,The Parker Inheritance
emily franklin,Tessa Masterson Will Go to Prom
e. k johnston,The Afterward
lo malinda,Last Night at the Telegraph Club
abbi glines,Making a Play (The Field Party Series)
andrs miedoso,Who Wants I Scream? (Desmond Cole Ghost Patrol Series)
maha addasi,Time to Pray
julie otsuka,When the Emperor Was Divine
christina hammonds reed,The Black Kids
a. j. sass,Ana on the Edge
ibtihaj muhammad,Proud: Living My American Dream (Young Readers Edition)
maya angelou,I Know Why The Caged Bird Sings
james st. james,Freak Show
mark walden,Dreadnought (H.I.V.E. Series)
tate meredith,The Last Confession of Autumn Casterly
robin benway,Far from the Tree
lisa bunker,Zenobia July
z. r. ellor,May the Best Man Win
sarah j. maas,Empire of Storms (Throne of Glass Series)
verde susan,I Am Human: A Book of Empathy (I Am... Series)
steven salvatore,Can't Take That Away
elana k. arnold,Bat and the Waiting Game (A Boy Called Bat Series)
caron lee cohen,The Mud Pony
nina varela,Iron Heart (Crier's War Series)
chad harbach,The Art of Fielding
lensey namioka,Yang the Youngest and his Terrible Ear (The Yang Family Series)
catherine ryan hyde,Jumpstart the World
faruqi saadia,Yasmin the Superhero (Yasmin Series)
brother eagle chief seattle,Sister Sky
alma flor ada,My Name Is María Isabel
emma donoghue,The Pull of the Stars
zack smedley,Tonight We Rule the World
maroh julie,Blue Is the Warmest Color
shaun david hutchinson,At the Edge of the Universe
jenny nordberg,The Underground Girls of Kabul: in Search of a Hidden Resistance in Afghanistan
engle margarita,Drum Dream Girl: How One Girl's Courage Changed Music
faruqi saadia,Yasmin the Painter (Yasmin Series)
adam selzer,Just Kill Me
stein garth,The Art of Racing in the Rain
fox benwell,Kaleidoscope Song
blue flag kaito,Vol. 2 (Blue Flag Series)
andrs miedoso,Beware the Werewolf (Desmond Cole Ghost Patrol Series)
natalie dias lorenzi,A Long Pitch Home
nagara innosanto,A is for Activist
dani gabriel,Sam!
abbi glines,Bad for You (Sea Breeze Series)
nico medina,Who Was Aretha Franklin? (Who was...? Series)
benjamin alire senz,Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante Series)
clare cassandra,The Lost Book of the White (The Eldest Curses Series)
erica silverman,Jack (Not Jackie)
yona zeldis mcdonough,What Was the Underground Railroad? (What was...? Series)
garsee jeannine,Say the Word
david levithan,The Realm of Possibility
tan susan,Cilla Lee-Jenkins: This Book Is a Classic (Cilla Lee-Jenkins Series)
abbi glines,Losing the Field (The Field Party Series)
tony johnston,Any Small Goodness: A Novel of the Barrio
rabiah york lumbard,The Gift of Ramadan
cook trish,Notes from the Blender
khan hena,Under My Hijab
kay o'neill,Princess Princess Ever After
bill konigsberg,The Porcupine of Truth
becky albertalli,The Upside of Unrequited (Simonverse Series)
sophie gonzales,Perfect on Paper
huxley aldous,Brave New World
mary mccoy,Indestructible Object
gino alex,Melissa (George)
jones carrie,Tips on Having a Gay (Ex) Boyfriend (Belle Series)
sarah prager,Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History
jules jacqueline,Abuela's Special Letters (Sofía Martínez Series)
kelly jensen,Body Talk: 37 Voices Explore Our Radical Anatomy
aden polydoros,The City Beautiful
camryn garrett,Full Disclosure
lee mackenzi,The Lady's Guide to Petticoats and Piracy (Montague Siblings Series)
matt tavares,Henry Aaron's Dream
a. s. king,Everybody Sees the Ants
lauren myracle,Under the Moon: A Catwoman Tale
hong jess,Lovely
cindy anstey,Duels and Deception
geerling marjetta,Fancy White Trash
lisa robinson,Were I Not a Girl: The Inspiring and True Story of Dr. James Barry
rick riordan,The Hammer of Thor (Magnus Chase and the Gods of Asgard Series)
donna gephart,Lily and Dunkin
lisa papademetriou,M or F?
eva apelqvist,LGBTQ Families: The Ultimate Teen Guide
janay brown-wood,Imani's Moon
brown monica,Marisol McDonald Doesn't Match (Marisol McDonald Series)
chinn karen,Sam and the Lucky Money
joy mccullough,Blood Water Paint
saeed aisha,Amal Unbound
krull kathleen,Starstruck: The Cosmic Journey of Neil Degrasse Tyson
gay roxane,Hunger: A Memoir of (My) Body
mo willems,Because
carol plum-ucci,What Happened to Lani Garver
kushner elisabeth,The Purim Superhero
faruqi saadia,Yasmin the Builder (Yasmin Series)
rao sandhya,My Mother's Sari
smith andrew,Stick
shannon hitchcock,One True Way
cathy g. johnson,The Breakaways
jan berenstain,The Berenstain Bears and the Big Question (The Berenstain Bears Series)
eric braun,Protest Movements: Then and Now
brian farrey,With Or Without You
john green,Looking for Alaska
emil ostrovski,Away We Go
penne barbra,Your Rights as an LGBTQ+ Teen
mia siegert,Somebody Told Me
melvin leland,Chasing Space Young Readers' Edition
ashley franklin,Not Quite Snow White
tehlor kay mejia,We Set the Dark on Fire (We Set the Dark on Fire Series)
jaime a. seba,Feeling Wrong in Your Own Body: Understanding What It Means to Be Transgender
eve bunting,One Green Apple
joseph frederick,The Black Friend: On Being a Better White Person
elana k. arnold,Infandous
trung le nguyen,The Magic Fish
gino alex,Rick
witton hannah,Doing It!: Let's Talk About Sex
p. c. cast,Untamed (House of Night Series)
gayle e. pitman,The Stonewall Riots: Coming Out in the Street
maggie tokuda-hall,Squad
kepnes caroline,You: A Novel of Dark Obsession (You Series)
lee lyla,Mindy Kim and the Lunar New Year Parade (Mindy Kim Series)
alex sanchez,Getting It
audrey coulthurst,Of Fire and Stars (Of Fire and Stars Series)
john irving,The Cider House Rules
rick riordan,The Burning Maze (The Trials of Apollo Series)
p. c. cast,Redeemed (House of Night Series)
sagar lindsey,The Story of Rap
cremer andrea,Rift (Nightshade Prequel Series)
wilson martin,We Now Return to Regular Life
tim floreen,Tattoo Atlas
sarah hoffman,Jacob's Room to Choose
dana alison levy,The Misadventures of the Family Fletcher (Family Fletcher Series)
do anh,WeirDo Series: Spinning Weird
tan susan,Cilla Lee-Jenkins: Future Author Extraordinaire (Cilla Lee-Jenkins Series)
lauren myracle,How to Be Bad
robinson christian,You Matter
groff lauren,Fates and Furies
gail herman,Who Is Derek Jeter? (Who was...? Series)
iris chang,The Rape of Nanking
bell william,Death Wind
r. kikuo johnson,The Shark King
trudy ludwig,The Power of One: Every Act of Kindness Counts
nicki pau preto,Heart of Flames (Crown of Feathers Series)
deborah hopkinson,Carter Reads the Newspaper
sarah tregay,Fan Art
cokal susann,The Kingdom of Little Wounds
pam pollack,Who Was Lucille Ball? (Who was...? Series)
john robert allman,A is for Audra: Broadway's Leading Ladies from A to Z
lee harper,To Kill a Mockingbird
k. ancrum,The Weight of the Stars
christine lynn herman,The Devouring Gray (The Devouring Gray Series)
phil bildner,Playing the Field
russo meredith,Birthday
paul volponi,Black and White
alko selina,The Case for Loving: The Fight for Interracial Marriage
jason reynolds,All American Boys
toni morrison,The Bluest Eye
b. t. gottfred,The Nerdy and the Dirty
sarah gailey,When We Were Magic
ho minfong,Hush! A Thai Lullaby
craft jerry,New Kid
faruqi saadia,Yasmin the Scientist (Yasmin Series)
laura brooke robson,Girls at the Edge of the World
elana k. arnold,Bat and the End of Everything (A Boy Called Bat Series)
blue flag kaito,Vol. 3 (Blue Flag Series)
nicole melleby,In the Role of Brie Hutchens...
arin andrews,Some Assembly Required: The Not-So-Secret Life of a Transgender Teen
agnes borinsky,Sasha Masha
kann claire,The Marvelous
schmidt tiffany,Get a Clue (Bookish Boyfriends Series)
woodson jacqueline,Red at the Bone
acevedo elizabeth,The Poet X
zack smedley,Deposing Nathan
warga jasmine,Other Words for Home
amber j. keyser,Underneath It All: A History of Women's Underwear
sanna emily,Gay Believers: Homosexuality and Religion
kacen callender,Hurricane Child
ronnie sidney ii,Nelson Beats The Odds
lisa delpit,Multiplication Is for White People: Raising Expectations for Other People's Children
cheryl rainfield,Scars
colleen a. f. venable,Kiss Number 8
chris tebbetts,Me Myself & Him
dugan jennifer,Verona Comics
peggy j. parks,Teenage Sex and Pregnancy
jules jacqueline,My Vida Loca (Sofía Martínez Series)
tom ryan,I Hope You're Listening
alok vaid-menon,Beyond the Gender Binary
becky albertalli,Simon vs. the Homo Sapiens Agenda (Simonverse Series)
gene luen yang,American Born Chinese
jamieson victoria,When Stars Are Scattered
ryan la sala,Reverie
woodson jacqueline,The Day You Begin
shaun david hutchinson,Brave Face: A Memoir
brian katcher,Almost Perfect
myers christopher,Wings
useni eugene perkins,Hey Black Child
alan moore,V for Vendetta
jason reynolds,As Brave As You
chris crutcher,Staying Fat for Sarah Byrnes
julie anne peters,It's Our Prom (So Deal With It)
caleb roehrig,The Fell of Dark
isabel sterling,The Coldest Touch
eliot schrefer,The Darkness Outside Us
ashley herring blake,La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World
erin gough,Amelia Westlake Was Never Here
kaur rupi,Milk and Honey
chimamanda ngozi adichie,Half of a Yellow Sun
do anh,WeirDo Series: Really Weird!
rene watson,Piecing Me Together
eric hoffman,Best Best Colors: Los mejores colores
miel moreland,It Goes Like This
brown savannah,The Truth about Keeping Secrets
gourley catherine,Who Was Maria Tallchief? (Who was...? Series)
david bowles,The Witch Owl Parliament (Clockwork Curandera Series)
cassandra rose clarke,Forget This Ever Happened
sehgal surishtha,Festival of Colors
jesse andrews,Me and Earl and the Dying Girl
karen blumenthal,Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights
p. c. cast,Hunted (House of Night Series)
florence parry heide,The Day of Ahmed's Secret
mina javaherbin,Soccer Star
sara k. ahmed,Being the Change: Lessons and Strategies to Teach Social Comprehension
ibtihaj muhammad,The Proudest Blue: A Story of Hijab and Family
david levithan,19 Love Songs
ashley rhodes-courter,Three Little Words: A Memoir
